User_ID,Age,Height_CM,Weight_KG,BMI,Gender,Fitness_Goal,Available_Hours_Per_Week,Fitness_Experience,Age_Category,BMI_Category,Hours_Category,Activity_Score,Fitness_Level_Class
FIE_00104,23,174.0,61.4,20.3,Female,Weight Loss,1.79,Never Exercised,Young Adult,Normal,Minimal,50.2,Beginner
FIE_00105,37,166.7,59.4,21.4,Female,Muscle Building,1.63,Never Exercised,Adult,Normal,Minimal,49.6,Beginner
FIE_00106,56,175.2,103.8,33.8,Male,Weight Loss,5.7,Beginner,Middle Aged,Obese,Moderate,53.1,Beginner
FIE_00107,42,163.5,81.2,30.4,Male,Muscle Building,1.43,Some Experience,Adult,Obese,Minimal,53.2,Beginner
FIE_00108,44,177.7,56.9,18.0,Male,Muscle Building,5.86,Beginner,Adult,Underweight,Moderate,56.2,Intermediate
FIE_00109,34,168.6,70.0,24.6,Male,Muscle Building,10.8,Beginner,Adult,Normal,High,76.6,Athlete
FIE_00110,35,166.2,89.9,32.5,Female,General Fitness,16.94,Beginner,Adult,Obese,High,69.4,Advanced
FIE_00111,48,162.0,69.6,26.5,Female,Weight Loss,3.64,Some Experience,Middle Aged,Overweight,Moderate,51.5,Beginner
FIE_00112,40,179.1,71.2,22.2,Male,General Fitness,1.86,Some Experience,Adult,Normal,Minimal,57.8,Intermediate
FIE_00113,58,159.8,52.8,20.7,Female,Endurance/Cardio,18.38,Advanced,Middle Aged,Normal,High,90.7,Athlete
FIE_00114,21,175.7,82.2,26.6,Male,Endurance/Cardio,2.65,Beginner,Young Adult,Overweight,Minimal,52.9,Intermediate
FIE_00115,38,179.9,92.1,28.5,Male,Endurance/Cardio,6.16,Some Experience,Adult,Overweight,Moderate,67.0,Advanced
FIE_00116,60,164.1,80.9,30.0,Female,General Fitness,6.23,Beginner,Middle Aged,Obese,Moderate,52.1,Beginner
FIE_00117,40,174.1,61.5,20.3,Male,Endurance/Cardio,2.67,Beginner,Adult,Normal,Minimal,60.6,Intermediate
FIE_00118,22,179.8,106.8,33.0,Male,Muscle Building,6.9,Beginner,Young Adult,Obese,Moderate,61.3,Intermediate
FIE_00119,44,164.4,81.0,30.0,Female,General Fitness,5.52,Some Experience,Adult,Obese,Moderate,57.0,Beginner
FIE_00120,36,165.4,89.9,32.9,Male,Weight Loss,6.52,Beginner,Adult,Obese,Moderate,53.1,Beginner
FIE_00121,56,183.8,95.1,28.1,Male,Weight Loss,1.79,Some Experience,Middle Aged,Overweight,Minimal,45.5,Beginner
FIE_00122,60,176.0,97.3,31.4,Male,General Fitness,5.65,Advanced,Middle Aged,Obese,Moderate,58.4,Beginner
FIE_00123,56,158.2,68.9,27.6,Female,General Fitness,5.19,Never Exercised,Middle Aged,Overweight,Moderate,40.9,Beginner
FIE_00124,24,178.2,71.5,22.5,Male,Weight Loss,6.04,Some Experience,Young Adult,Normal,Moderate,69.4,Advanced
FIE_00125,40,167.7,74.9,26.6,Male,General Fitness,3.37,Beginner,Adult,Overweight,Moderate,50.4,Beginner
FIE_00126,21,158.3,62.2,24.8,Female,Weight Loss,1.79,Advanced,Young Adult,Normal,Minimal,69.3,Advanced
FIE_00127,38,169.5,88.8,30.9,Male,General Fitness,3.47,Advanced,Adult,Obese,Moderate,56.0,Beginner
FIE_00128,20,169.2,65.6,22.9,Female,Weight Loss,8.02,Advanced,Young Adult,Normal,High,85.5,Athlete
FIE_00129,31,193.6,82.7,22.1,Male,General Fitness,10.82,Some Experience,Adult,Normal,High,88.2,Athlete
FIE_00130,37,164.2,71.6,26.6,Female,Weight Loss,4.09,Beginner,Adult,Overweight,Moderate,50.6,Beginner
FIE_00131,55,173.4,79.2,26.3,Male,Endurance/Cardio,1.28,Beginner,Middle Aged,Overweight,Minimal,38.8,Beginner
FIE_00132,61,183.6,84.3,25.0,Male,Weight Loss,4.3,Some Experience,Senior,Overweight,Moderate,47.1,Beginner
FIE_00133,22,163.0,57.7,21.7,Female,Endurance/Cardio,1.0,Advanced,Young Adult,Normal,Minimal,70.4,Athlete
FIE_00134,32,172.5,69.1,23.2,Male,Muscle Building,2.32,Beginner,Adult,Normal,Minimal,61.1,Intermediate
FIE_00135,66,161.0,77.7,30.0,Female,Endurance/Cardio,16.16,Advanced,Senior,Obese,High,70.9,Advanced
FIE_00136,70,151.8,77.3,33.5,Female,Weight Loss,7.65,Some Experience,Senior,Obese,High,52.2,Beginner
FIE_00137,23,179.0,87.4,27.3,Male,General Fitness,1.33,Some Experience,Young Adult,Overweight,Minimal,46.7,Beginner
FIE_00138,70,173.1,74.7,24.9,Male,Muscle Building,1.23,Never Exercised,Senior,Normal,Minimal,43.3,Beginner
FIE_00139,43,165.4,58.5,21.4,Other,General Fitness,8.11,Beginner,Adult,Normal,High,79.5,Athlete
FIE_00140,34,166.7,86.1,31.0,Male,Weight Loss,4.19,Advanced,Adult,Obese,Moderate,59.4,Intermediate
FIE_00141,25,160.5,69.5,27.0,Male,Weight Loss,6.69,Some Experience,Young Adult,Overweight,Moderate,69.1,Advanced
FIE_00142,38,158.0,53.5,21.4,Male,Endurance/Cardio,5.35,Beginner,Adult,Normal,Moderate,63.8,Advanced
FIE_00143,31,163.6,69.1,25.8,Female,Weight Loss,2.29,Some Experience,Adult,Overweight,Minimal,51.6,Beginner
FIE_00144,41,166.8,78.9,28.4,Female,Endurance/Cardio,1.77,Beginner,Adult,Overweight,Minimal,47.1,Beginner
FIE_00145,29,177.5,94.7,30.1,Male,Weight Loss,3.42,Advanced,Young Adult,Obese,Moderate,60.6,Intermediate
FIE_00146,38,158.9,58.4,23.1,Female,General Fitness,4.33,Never Exercised,Adult,Normal,Moderate,52.1,Beginner
FIE_00147,39,164.1,59.4,22.0,Female,Weight Loss,6.14,Beginner,Adult,Normal,Moderate,70.5,Advanced
FIE_00148,30,169.7,73.2,25.4,Male,Weight Loss,1.5,Some Experience,Young Adult,Overweight,Minimal,59.7,Intermediate
FIE_00149,54,155.4,64.0,26.5,Other,Muscle Building,1.54,Never Exercised,Middle Aged,Overweight,Minimal,36.7,Beginner
FIE_00150,48,158.3,57.3,22.9,Female,Muscle Building,6.95,Advanced,Middle Aged,Normal,Moderate,76.1,Athlete
FIE_00151,19,177.5,83.5,26.5,Male,Endurance/Cardio,15.39,Beginner,Young Adult,Overweight,High,75.1,Athlete
FIE_00152,44,179.7,92.6,28.7,Male,General Fitness,4.46,Beginner,Adult,Overweight,Moderate,54.3,Intermediate
FIE_00153,44,190.2,82.2,22.7,Male,General Fitness,15.26,Advanced,Adult,Normal,High,90.1,Athlete
FIE_00154,55,165.4,71.7,26.2,Female,Endurance/Cardio,10.53,Never Exercised,Middle Aged,Overweight,High,62.7,Intermediate
FIE_00155,36,164.6,72.6,26.8,Female,Weight Loss,2.01,Never Exercised,Adult,Overweight,Minimal,36.5,Beginner
FIE_00156,29,167.3,66.7,23.8,Female,Endurance/Cardio,6.04,Beginner,Young Adult,Normal,Moderate,69.6,Advanced
FIE_00157,25,159.4,68.0,26.7,Female,General Fitness,3.41,Advanced,Young Adult,Overweight,Moderate,66.8,Advanced
FIE_00158,25,175.9,74.2,24.0,Male,Weight Loss,1.31,Some Experience,Young Adult,Normal,Minimal,67.3,Advanced
FIE_00159,51,156.4,65.6,26.8,Female,Weight Loss,4.04,Beginner,Middle Aged,Overweight,Moderate,50.9,Beginner
FIE_00160,32,176.8,60.5,19.4,Male,General Fitness,4.21,Advanced,Adult,Normal,Moderate,65.8,Advanced
FIE_00161,61,180.8,94.4,28.9,Male,General Fitness,10.36,Some Experience,Senior,Overweight,High,71.9,Advanced
FIE_00162,39,175.7,79.4,25.7,Male,Weight Loss,8.36,Some Experience,Adult,Overweight,High,71.7,Advanced
FIE_00163,38,176.1,68.5,22.1,Male,Muscle Building,7.56,Some Experience,Adult,Normal,High,74.4,Athlete
FIE_00164,25,165.5,87.1,31.8,Female,Endurance/Cardio,3.38,Advanced,Young Adult,Obese,Moderate,62.6,Intermediate
FIE_00165,40,171.6,82.2,27.9,Male,Endurance/Cardio,9.07,Beginner,Adult,Overweight,High,65.4,Advanced
FIE_00166,69,175.6,91.5,29.7,Male,Weight Loss,2.13,Advanced,Senior,Overweight,Minimal,48.2,Beginner
FIE_00167,28,168.8,76.5,26.8,Female,Weight Loss,2.44,Advanced,Young Adult,Overweight,Minimal,64.6,Advanced
FIE_00168,37,163.3,62.0,23.3,Female,Weight Loss,10.37,Advanced,Adult,Normal,High,89.0,Athlete
FIE_00169,61,176.4,65.5,21.1,Male,Endurance/Cardio,1.46,Never Exercised,Senior,Normal,Minimal,40.0,Beginner
FIE_00170,42,160.5,90.4,35.1,Female,General Fitness,3.55,Beginner,Adult,Obese,Moderate,43.8,Beginner
FIE_00171,34,179.7,67.8,21.0,Male,General Fitness,2.07,Beginner,Adult,Normal,Minimal,55.2,Intermediate
FIE_00172,55,193.8,84.8,22.6,Male,Weight Loss,1.87,Beginner,Middle Aged,Normal,Minimal,48.3,Beginner
FIE_00173,33,160.2,68.9,26.8,Female,Weight Loss,3.37,Some Experience,Adult,Overweight,Moderate,60.5,Intermediate
FIE_00174,43,163.8,61.1,22.8,Female,General Fitness,1.99,Some Experience,Adult,Normal,Minimal,63.7,Advanced
FIE_00175,25,169.4,62.5,21.8,Male,Endurance/Cardio,13.5,Advanced,Young Adult,Normal,High,100.0,Athlete
FIE_00176,31,174.0,65.3,21.6,Male,General Fitness,13.79,Advanced,Adult,Normal,High,92.4,Athlete
FIE_00177,43,168.6,62.5,22.0,Female,Muscle Building,8.25,Some Experience,Adult,Normal,High,81.7,Athlete
FIE_00178,40,162.0,57.3,21.8,Female,Weight Loss,16.14,Some Experience,Adult,Normal,High,83.1,Athlete
FIE_00179,47,176.9,69.6,22.3,Male,Weight Loss,3.33,Never Exercised,Middle Aged,Normal,Moderate,46.2,Beginner
FIE_00180,35,167.4,95.0,33.9,Male,General Fitness,10.98,Some Experience,Adult,Obese,High,76.8,Athlete
FIE_00181,38,180.1,57.6,17.7,Male,General Fitness,2.87,Some Experience,Adult,Underweight,Minimal,55.8,Beginner
FIE_00182,40,164.0,61.7,22.9,Female,Muscle Building,1.21,Some Experience,Adult,Normal,Minimal,60.5,Intermediate
FIE_00183,33,175.7,71.2,23.1,Male,Endurance/Cardio,16.32,Some Experience,Adult,Normal,High,90.5,Athlete
FIE_00184,36,169.7,80.5,28.0,Female,Weight Loss,11.65,Beginner,Adult,Overweight,High,70.1,Advanced
FIE_00185,24,169.1,65.3,22.8,Male,Endurance/Cardio,1.89,Some Experience,Young Adult,Normal,Minimal,68.2,Advanced
FIE_00186,32,179.2,70.6,22.0,Male,General Fitness,3.4,Some Experience,Adult,Normal,Moderate,64.6,Advanced
FIE_00187,36,170.9,80.6,27.6,Male,Weight Loss,1.98,Some Experience,Adult,Overweight,Minimal,54.4,Intermediate
FIE_00188,36,165.4,68.3,25.0,Male,Weight Loss,4.53,Beginner,Adult,Overweight,Moderate,52.6,Beginner
FIE_00189,30,158.5,58.2,23.2,Male,Endurance/Cardio,8.8,Some Experience,Young Adult,Normal,High,82.7,Athlete
FIE_00190,50,172.8,67.7,22.7,Male,Muscle Building,1.83,Beginner,Middle Aged,Normal,Minimal,50.1,Beginner
FIE_00191,22,181.9,74.6,22.5,Other,Muscle Building,3.48,Some Experience,Young Adult,Normal,Moderate,70.0,Athlete
FIE_00192,20,176.8,66.2,21.2,Male,Endurance/Cardio,11.34,Advanced,Young Adult,Normal,High,94.1,Athlete
FIE_00193,31,162.6,70.6,26.7,Female,Muscle Building,1.33,Some Experience,Adult,Overweight,Minimal,49.4,Beginner
FIE_00194,51,175.1,65.5,21.4,Female,Muscle Building,1.89,Some Experience,Middle Aged,Normal,Minimal,53.0,Beginner
FIE_00195,37,174.6,53.2,17.5,Male,General Fitness,1.56,Some Experience,Adult,Underweight,Minimal,49.1,Beginner
FIE_00196,25,169.0,93.6,32.8,Male,Endurance/Cardio,16.02,Some Experience,Young Adult,Obese,High,81.0,Athlete
FIE_00197,52,167.2,92.9,33.2,Male,Muscle Building,1.73,Some Experience,Middle Aged,Obese,Minimal,42.4,Beginner
FIE_00198,30,162.5,62.5,23.7,Female,Endurance/Cardio,2.19,Some Experience,Young Adult,Normal,Minimal,61.0,Advanced
FIE_00199,62,170.2,85.9,29.7,Female,Muscle Building,4.37,Beginner,Senior,Overweight,Moderate,51.2,Beginner
FIE_00200,53,161.1,83.3,32.1,Female,Weight Loss,4.65,Beginner,Middle Aged,Obese,Moderate,51.3,Beginner
FIE_00201,30,157.3,53.4,21.6,Female,Weight Loss,4.42,Beginner,Young Adult,Normal,Moderate,62.8,Advanced
FIE_00202,52,169.1,71.0,24.8,Male,General Fitness,3.1,Advanced,Middle Aged,Normal,Moderate,60.1,Intermediate
FIE_00203,39,183.0,90.3,27.0,Male,Weight Loss,5.75,Some Experience,Adult,Overweight,Moderate,62.5,Intermediate
FIE_00204,52,173.0,78.6,26.3,Male,Weight Loss,1.98,Advanced,Middle Aged,Overweight,Minimal,61.0,Intermediate
FIE_00205,45,171.8,66.2,22.4,Male,Endurance/Cardio,5.04,Never Exercised,Adult,Normal,Moderate,57.8,Intermediate
FIE_00206,36,164.1,88.2,32.8,Female,Endurance/Cardio,4.75,Advanced,Adult,Obese,Moderate,65.3,Intermediate
FIE_00207,39,162.9,47.9,18.1,Female,Weight Loss,5.42,Advanced,Adult,Underweight,Moderate,66.5,Advanced
FIE_00208,36,164.4,72.3,26.8,Male,General Fitness,2.46,Advanced,Adult,Overweight,Minimal,62.0,Intermediate
FIE_00209,34,173.8,53.7,17.8,Male,Endurance/Cardio,18.62,Advanced,Adult,Underweight,High,86.7,Athlete
FIE_00210,39,172.1,66.1,22.3,Other,Muscle Building,2.76,Advanced,Adult,Normal,Minimal,73.6,Athlete
FIE_00211,63,156.0,65.4,26.9,Female,Muscle Building,3.81,Advanced,Senior,Overweight,Moderate,53.2,Beginner
FIE_00212,19,174.1,62.7,20.7,Male,Weight Loss,1.77,Beginner,Young Adult,Normal,Minimal,49.2,Beginner
FIE_00213,37,173.7,54.4,18.0,Male,Muscle Building,3.83,Never Exercised,Adult,Underweight,Moderate,44.8,Beginner
FIE_00214,59,178.9,87.5,27.3,Male,Weight Loss,6.85,Beginner,Middle Aged,Overweight,Moderate,56.7,Intermediate
